user_id,follower_count,following_count,repo_count,lifespan,starred,forked,watched
19324351,0,0,5,1942,0,0,0
53273179,0,0,0,774,0,0,0
21127314,0,0,0,1843,0,0,0
2922791,0,0,0,3202,0,0,0
5287336,0,0,8,2936,0,0,0
617121,8,3,89,3856,50,7,50
8061991,0,0,1,2621,0,0,0
543297,19,7,110,3900,57,135,57
53016448,0,0,1,781,0,0,0
8647367,0,0,1,2559,0,0,0
1204981,3,0,14,3579,2,1,2
37949616,0,3,0,1254,0,0,0
8268353,0,1,7,2599,0,0,0
882981,5,20,19,3721,0,0,0
13932397,1,3,24,2205,0,0,0
21268490,1,0,36,1836,1,1,1
2316167,13,16,58,3282,10,9,10
41489457,1,1,27,1143,0,0,0
31349495,0,0,10,1472,0,0,0
8322021,1,0,26,2593,1,1,1
6362450,0,0,7,2796,0,0,0
39182779,0,0,2,1213,0,0,0
245299,2,0,10,4160,0,0,0
18526236,1,1,5,1966,2,3,2
3698916,0,0,3,3114,0,2,0
47638935,4,6,4,934,0,0,0
8204,6,17,18,4884,3,1,3
60754,563,0,77,4566,410,255,410
8149023,21,46,34,2611,15,3,15
25279149,2,1,8,1687,2,1,2
10271245,1,1,157,2449,1,17,1
34501876,0,0,17,1362,0,0,0
18463109,0,0,4,1970,0,0,0
22998277,0,0,13,1779,1,2,1
18335346,0,0,5,1977,3,0,3
58263952,0,0,0,648,0,0,0
372398,9,0,24,4032,10,3,10
3811209,0,0,2,3103,0,0,0
1684784,8,1,15,3418,24,10,24
866771,7,18,3,3728,0,0,0
57914365,0,0,0,657,0,0,0
22118976,48,68,28,1821,464,180,464
4280588,1,0,24,3052,4,3,4
29454303,3,0,2,1543,0,0,0
10125255,4,13,28,2462,3,3,3
59680876,0,0,0,605,0,0,0
12658693,5,35,54,2291,3,4,3
59355889,0,0,0,615,0,0,0
521154,0,5,3,3919,0,0,0
28813026,2,4,5,1570,0,0,0
6817539,3,3,14,2746,1,0,1
19896022,4,3,11,1911,0,0,0
45846392,0,2,14,997,0,1,0
45077685,0,0,3,1025,0,0,0
21303064,0,2,22,1833,3,0,3
37534403,5,2,47,1266,0,0,0
6755757,0,2,53,2752,9,7,9
53940635,0,0,1,758,0,0,0
3584191,0,0,4,3126,0,0,0
7733322,0,0,3,2656,0,0,0
61193043,0,0,2,565,0,0,0
3164449,0,0,9,3169,0,0,0
12963916,0,0,0,2270,0,0,0
11868698,0,0,25,2341,0,1,0
5604353,0,0,8,2894,0,0,0
173451,44,12,150,4268,165,40,165
43875968,0,0,4,1066,0,0,0
45937043,1,0,0,993,0,0,0
8494608,1,2,8,2574,0,0,0
17287271,1,2,11,2027,3,1,3
63465643,0,0,0,513,0,0,0
24817141,0,3,0,1712,0,0,0
54174687,6,35,105,751,9,6,9
53144540,0,0,2,777,0,0,0
64551809,0,0,0,494,0,0,0
18436646,0,0,3,1971,0,0,0
29730212,0,0,2,1531,0,0,0
12773148,0,2,11,2283,0,0,0
2580701,0,0,3,3245,0,0,0
46110542,0,0,2,986,0,0,0
445105,7,4,9,3974,9,2,9
139017,70,3,12,4345,514,143,514
8480178,0,0,1,2575,0,0,0
45066563,0,0,1,1025,0,0,0
8685849,1,0,8,2555,1,0,1
23699044,4,9,39,1747,5,0,5
3440852,0,0,22,3139,1,1,1
21141902,2,13,0,1842,0,0,0
14266342,5,10,50,2183,7,5,7
55268359,0,0,1,723,0,0,0
3626114,9,11,1,3121,0,0,0
5331092,246,46,57,2930,1231,658,1231
53983639,0,0,5,757,0,0,0
68399856,0,0,1,416,0,0,0
33280195,0,0,4,1404,0,0,0
3672823,6,10,29,3117,3,5,3
21337997,0,0,7,1832,0,0,0
1290376,39,84,102,3539,255,64,255
18720017,0,0,2,1956,0,0,0
13479921,0,0,0,2235,0,0,0
66638311,0,0,2,454,0,0,0
2384725,0,0,5,3272,0,0,0
4180822,6,34,27,3063,5,1,5
29483486,0,0,15,1542,2,0,2
14103253,0,0,0,2194,0,0,0
4804673,0,0,11,2995,1,2,1
11679890,2,2,1,2354,0,0,0
44914682,0,0,3,1030,0,0,0
63741040,0,1,0,508,0,0,0
71368491,0,0,0,354,0,0,0
47525824,1,0,10,937,0,0,0
21130452,0,0,0,1843,0,0,0
3718440,10,1,17,3112,0,1,0
72589528,0,0,2,331,0,0,0
72270709,0,0,3,338,0,0,0
11880048,0,0,12,2340,0,0,0
