user_id,1,2,3,4,5,6,7,8,9,10,11,12
7356593,0,0,0,0,1,5,2,0,0,3,0,0
5493508,0,0,0,0,0,0,0,0,0,0,0,0
6575356,15,9,4,6,5,10,6,18,2,0,3,0
6575237,0,0,13,4,5,0,8,0,0,5,3,0
6584712,0,0,0,0,0,0,0,0,0,10,0,0
6575289,0,3,0,0,0,8,7,4,0,4,2,0
7378655,0,1,1,0,0,0,0,0,0,8,0,0
6574896,0,0,16,16,11,0,8,0,9,4,6,0
6574862,0,0,0,0,0,0,0,0,1,0,2,0
5026272,0,0,0,0,0,0,0,0,0,0,0,0
7358080,0,0,1,0,6,5,2,4,5,1,4,0
6568523,9,16,8,10,9,11,21,15,6,8,4,0
7410562,0,0,0,0,0,0,0,0,0,0,0,0
5727974,105,67,56,80,62,42,53,66,71,46,2,0
6564444,0,0,0,0,0,0,0,0,0,0,0,0
7404240,0,0,0,0,0,0,0,0,0,0,0,0
6562219,0,0,0,9,9,0,0,3,6,0,7,0
6568201,14,4,7,27,11,15,17,23,16,3,5,0
6558286,20,34,11,20,17,5,1,0,0,1,1,0
6558217,7,1,5,7,7,5,13,25,6,9,0,0
6566022,27,14,14,11,1,2,14,6,7,0,0,0
6560208,0,0,0,0,0,0,0,2,35,4,1,0
7368788,0,0,4,0,0,0,0,2,13,8,7,0
6571702,4,0,7,0,5,3,7,1,0,4,5,0
6574996,22,0,5,7,3,0,2,9,19,13,5,0
6584681,0,0,0,0,0,0,0,0,14,9,0,0
7347329,0,0,0,0,14,3,2,3,9,5,12,0
5719669,90,71,57,68,39,22,23,24,21,8,1,0
5724093,67,73,74,31,32,30,14,15,10,2,1,0
5719672,0,1,18,8,3,16,16,24,11,5,1,0
5719696,0,0,0,0,0,0,0,0,0,0,3,0
6508970,0,0,0,0,0,0,0,0,0,0,1,0
1301333,0,0,0,0,0,0,0,0,0,0,0,0
6571752,0,0,0,0,0,0,0,0,0,0,0,0
7429579,0,0,0,0,0,0,0,0,0,0,0,0
5029407,0,0,0,0,0,0,0,0,0,0,0,0
1119415,0,0,0,0,0,0,0,0,0,0,0,0
6557580,0,0,1,1,0,3,0,3,0,0,3,0
1998804,0,0,0,0,0,3,1,0,0,0,1,0
6517910,21,0,0,0,0,3,15,9,6,6,6,0
7342119,7,0,2,5,2,2,0,1,0,1,0,0
7395784,0,0,0,0,0,0,0,0,0,0,4,0
7405220,0,0,0,3,1,0,0,0,0,0,1,0
7386055,0,0,0,0,0,0,0,0,0,0,1,0
6575368,3,3,2,5,8,6,7,0,0,0,4,0
6517995,0,0,0,0,0,0,0,0,0,5,3,0
6571706,0,0,0,0,0,0,0,0,0,0,0,0
2305954,0,0,0,0,0,0,0,0,0,0,0,0
6572339,0,0,0,0,0,0,0,0,2,5,0,0
1571369,0,0,0,0,0,0,0,0,0,0,2,0
6574970,6,15,0,0,0,5,5,0,0,7,0,0
7342114,9,2,2,10,18,8,16,18,4,3,0,0
6574497,0,0,0,0,0,0,43,6,5,4,2,0
6574950,1,5,2,5,2,0,0,2,0,3,0,0
5720277,0,0,1,0,0,0,0,0,0,0,2,0
6518068,0,0,0,1,0,0,0,0,0,22,0,0
6575981,0,0,0,0,0,3,1,9,15,5,2,0
5490358,0,0,0,0,0,0,0,0,0,0,0,0
6564253,0,0,0,0,0,0,0,0,7,9,0,0
7409037,0,0,0,0,0,0,0,0,0,0,0,0
7394673,0,6,3,0,5,5,5,5,0,6,0,0
7362853,0,0,0,0,0,0,0,0,0,0,0,0
7455964,0,5,5,24,33,32,22,46,29,18,2,0
7389039,0,0,0,0,0,0,0,0,0,0,0,0
6584668,22,4,5,6,4,0,0,0,1,8,0,0
6568539,0,0,0,0,7,2,1,17,6,10,6,0
6579775,15,12,6,4,16,7,6,0,16,2,2,0
7388980,0,0,0,0,0,0,0,0,0,0,5,0
7342111,0,1,0,0,0,9,0,1,12,8,7,0
7342120,5,0,0,5,7,6,4,0,1,1,0,0
5512830,0,0,0,0,0,0,0,0,0,1,0,0
6579652,11,0,3,11,0,4,7,4,6,12,2,0
6585092,0,0,0,0,7,5,0,6,0,0,1,0
6557631,0,0,0,0,0,0,0,0,6,0,1,0
7379671,0,0,0,0,0,0,0,0,0,0,0,0
6571739,12,5,4,11,9,11,12,6,8,2,2,0
1547209,0,0,0,0,0,0,0,0,0,0,0,0
2058270,0,0,0,0,0,0,0,0,0,7,0,0
7471561,4,0,4,6,9,18,0,13,10,13,3,0
7535832,0,0,0,0,0,0,0,0,5,8,1,0
7388798,3,15,16,18,8,14,4,0,1,0,1,0
7380997,0,0,0,0,0,0,0,0,0,0,0,0
7482002,0,0,0,0,0,0,0,0,0,0,0,0
6575154,0,0,0,0,0,0,0,0,0,0,0,0
1941233,14,20,5,19,0,7,1,0,0,1,0,0
6568187,0,13,1,2,4,11,7,8,5,0,2,0
7402817,0,7,2,1,10,5,1,1,0,0,10,0
7445365,0,0,0,0,0,0,0,0,0,0,0,0
6557730,0,0,0,0,0,0,0,0,0,0,0,0
7513543,0,0,0,0,0,0,0,0,0,0,0,0
324869,0,0,0,0,0,0,0,0,0,0,0,0
7580597,0,0,0,0,0,0,0,0,0,1,1,0
6574921,2,36,1,3,7,0,0,5,1,2,2,0
7529679,8,2,7,4,7,20,15,9,8,5,2,0
2299777,0,0,0,0,0,0,0,0,0,0,0,0
7358260,0,0,0,0,0,0,0,1,4,1,0,0
7423528,0,0,0,0,0,0,0,0,0,0,0,0
6584599,1,23,7,29,23,12,0,6,3,0,1,0
7619022,0,0,0,0,0,0,0,0,0,0,0,0
6569260,0,0,0,0,0,0,0,0,0,0,0,0
7494416,0,0,0,0,0,0,0,0,0,0,0,0
982593,0,0,0,0,0,0,0,0,0,0,0,0
7576362,13,13,2,19,0,4,3,13,7,4,9,0
7552053,0,0,0,0,0,0,0,3,6,8,5,0
89068,0,0,0,0,0,0,0,7,0,17,2,0
7373221,1,0,0,0,0,0,0,0,0,15,0,0
7356555,0,0,0,0,0,0,0,0,0,0,0,0
7641551,14,13,16,13,13,17,7,19,31,17,4,0
6519443,0,0,0,0,0,5,4,2,2,0,0,0
