user_id,1,2,3,4,5,6,7,8,9,10,11,12
5518576,235,195,148,161,156,144,140,122,153,0,0,0
5554527,0,0,0,0,0,3,2,4,0,4,0,0
5719707,12,18,21,10,15,10,17,11,18,13,4,15
6584974,9,7,7,6,0,0,5,3,3,5,0,4
7352110,0,7,6,0,3,3,1,6,0,4,0,1
6575338,7,11,7,5,5,5,7,9,6,4,0,5
6575161,6,6,5,6,8,6,6,3,16,0,3,3
6574899,22,25,16,22,11,23,23,18,27,22,20,24
6518142,5,19,13,12,2,7,1,3,4,6,8,5
6518137,17,17,17,14,7,15,16,11,14,18,13,16
6574948,5,9,18,0,5,0,6,6,4,4,3,1
6560296,0,0,8,0,6,6,0,0,1,1,0,0
6575241,4,8,7,0,4,7,11,18,6,16,8,9
6574868,5,13,12,1,6,7,8,6,10,13,6,5
6575118,21,26,20,17,16,18,20,10,23,19,19,15
7347157,3,2,4,5,0,0,0,5,4,4,0,3
6575151,16,21,14,10,15,8,13,20,9,6,6,12
6578500,0,6,6,0,0,0,11,11,9,12,7,16
6576637,17,19,7,0,5,12,15,6,17,10,7,14
6561470,31,38,49,41,30,22,28,40,36,29,23,42
6580807,10,6,1,2,4,0,0,0,0,0,1,5
6584633,9,27,24,14,22,15,16,19,16,4,2,9
6574854,5,13,12,14,11,12,14,13,9,25,13,11
6575280,17,28,24,20,17,14,19,20,24,16,6,20
5644189,35,47,44,25,29,22,41,38,38,30,9,22
7342144,9,10,17,9,4,8,9,4,10,5,8,5
7342911,3,0,7,4,0,0,0,4,5,3,0,5
7347217,1,5,7,1,4,0,4,5,8,1,2,3
6575381,1,4,2,6,5,7,5,0,2,4,2,1
6538377,0,0,5,9,0,0,0,4,1,0,0,0
6575112,0,1,5,11,0,5,0,0,0,0,3,0
6574993,0,2,0,8,3,9,7,7,4,3,4,2
6517944,12,12,17,12,11,11,7,10,6,7,6,8
6574850,6,7,4,3,6,0,6,4,9,4,3,3
6575353,0,2,0,3,3,0,0,0,6,3,0,4
6584698,3,3,7,6,6,6,8,5,4,1,2,1
7371640,2,4,6,6,7,11,10,2,6,0,3,0
6575282,9,14,12,15,18,11,20,12,14,13,10,14
6575739,5,9,16,7,6,1,12,5,13,10,9,11
7347160,16,23,18,15,13,7,10,7,18,16,6,12
6575002,12,9,16,9,10,18,16,6,14,16,5,12
6560244,0,8,14,6,3,5,0,0,0,0,0,16
6517837,12,20,21,19,12,21,18,12,16,27,23,21
6560299,11,23,20,13,13,12,19,9,12,16,6,11
7386274,0,0,0,0,0,0,0,0,5,0,0,3
6575400,0,0,0,0,0,0,4,5,7,2,4,5
6575350,4,5,5,6,3,7,5,0,4,6,0,0
7347090,7,14,5,8,2,4,0,4,0,2,4,6
6570671,9,7,8,12,7,10,12,8,18,7,9,8
6584634,7,5,9,0,12,8,10,7,8,8,7,13
6521784,11,9,8,7,3,7,6,3,8,7,0,7
7421487,27,29,32,27,14,19,22,17,20,27,15,9
7356746,3,10,2,0,3,0,0,0,4,1,0,0
7347367,7,4,12,4,0,6,0,0,4,9,6,3
6517938,4,7,0,6,7,3,6,6,9,0,1,7
7347208,7,10,10,10,7,11,7,11,6,11,5,8
7342122,7,0,9,0,7,5,0,3,4,10,5,7
6560119,26,21,27,14,15,0,5,3,1,2,4,0
6579765,23,17,15,18,11,18,22,6,14,12,12,14
901397,7,6,0,7,6,5,2,1,2,3,4,3
6575291,13,8,7,9,2,5,12,14,15,7,6,10
6584610,2,0,6,8,7,6,8,3,3,4,0,1
7353927,0,3,5,0,8,5,4,1,13,7,1,3
6575413,7,13,22,18,16,14,22,17,19,5,4,4
6575416,6,6,2,2,1,0,6,1,0,0,5,0
7353895,0,0,2,0,6,0,0,0,3,0,0,7
7456437,0,1,1,0,6,0,6,1,5,0,0,1
366785,0,4,6,0,5,3,6,6,1,4,0,3
6560352,7,10,8,5,14,0,11,10,1,2,0,3
6571795,0,5,4,0,7,0,0,8,3,0,8,3
7512942,6,8,0,1,4,0,0,4,3,4,0,4
7379189,11,10,6,7,1,0,7,6,14,4,0,5
7353915,0,11,4,5,6,7,8,3,12,2,0,3
6584642,10,8,10,1,0,0,2,2,0,5,2,6
7424446,11,12,8,10,8,10,7,11,13,9,12,12
7555873,4,5,0,0,3,0,0,0,4,3,4,4
7501862,3,10,11,3,0,0,0,3,7,5,1,7
6575370,23,31,24,21,19,8,16,12,14,12,4,7
7353920,12,20,15,14,17,14,18,18,22,20,13,10
7363327,13,9,7,16,9,8,8,0,5,5,11,7
7578154,0,0,0,5,0,0,0,0,0,0,0,1
6584707,13,13,7,17,9,8,17,13,8,13,9,15
6573901,6,5,7,5,0,0,0,4,0,2,5,5
7579944,10,10,8,6,4,5,6,4,0,1,3,2
7641490,10,6,1,9,7,0,2,0,0,6,0,4
6517937,7,0,0,0,6,6,0,4,8,0,0,4
7354012,11,23,27,14,24,16,22,22,19,17,11,9
6569326,6,3,5,12,11,9,9,8,5,8,5,6
6573942,4,9,9,9,8,7,8,5,5,8,6,5
7672178,1,10,7,3,6,6,6,0,5,0,0,0
7398781,7,6,8,7,3,7,7,6,7,7,4,5
7345960,5,5,4,0,5,1,4,0,5,5,2,2
6584639,8,15,6,4,4,0,3,6,9,5,2,5
5133342,0,1,5,2,4,3,5,7,2,0,2,1
7762098,4,10,6,5,2,7,10,7,0,5,4,6
7379164,9,8,11,17,10,15,12,12,7,10,14,9
7841534,8,0,14,7,0,0,0,3,0,7,4,7
6570603,7,12,15,11,11,8,9,11,7,9,6,9
7839909,1,4,0,5,0,11,3,8,3,6,1,5
7353894,0,12,9,7,5,5,6,4,14,8,6,0
6575000,3,9,1,0,9,6,8,6,8,3,0,2
7839560,0,5,2,9,8,0,10,12,13,12,9,6
7500020,4,5,8,8,7,6,7,7,7,4,8,8
7353923,14,14,17,14,18,14,15,15,22,23,13,22
6578529,9,9,4,3,9,8,8,4,3,0,0,0
7873541,0,0,0,7,2,7,0,0,0,0,0,0
7839615,0,3,0,0,6,6,0,3,14,4,3,1
7862345,0,1,8,7,0,3,0,6,0,11,0,0
7889971,5,4,8,0,0,0,0,0,0,4,0,4
6579596,13,12,16,15,13,16,17,10,21,16,15,17
7916874,0,0,0,0,1,2,0,1,0,7,1,0
7929819,0,1,0,0,7,0,0,7,3,2,0,0
7944354,7,5,0,0,2,0,0,1,0,3,0,3
7951240,2,6,7,6,5,8,9,3,12,0,4,7
7917450,8,10,11,5,2,0,1,3,0,7,3,4
7830176,2,3,4,0,6,0,10,7,12,6,4,0
416465,5,6,6,6,2,9,5,0,0,0,6,7
7854338,0,0,6,0,8,7,3,0,5,4,4,0
7873411,0,0,3,0,0,0,8,9,3,4,1,7
8204759,4,7,4,5,0,0,3,0,3,6,0,7
8201499,0,1,4,0,0,2,3,0,3,0,0,4
7511764,2,5,3,0,0,0,0,0,4,3,0,3
7718575,160,174,148,150,140,135,166,183,215,186,146,176
8777557,82,222,202,170,217,229,178,141,176,150,116,27
8869053,4,5,7,6,7,5,5,3,5,4,3,6
6571027,0,0,0,0,0,0,0,0,0,0,0,0
9482390,0,0,0,0,0,0,0,0,0,0,0,0
9676334,0,0,0,0,0,0,0,0,0,0,0,0
577940,0,0,0,0,0,0,0,0,0,0,0,0
6584630,0,0,0,3,0,0,0,0,0,0,3,3
6575384,0,0,0,0,0,0,0,0,2,2,1,4
6517851,10,6,5,5,3,5,5,6,5,0,0,4
2064272,2,2,3,0,4,0,3,0,6,0,1,10
6574911,0,0,6,0,9,0,0,5,4,0,0,6
6579668,11,0,7,6,0,6,11,4,6,0,0,3
7457460,0,4,7,2,1,2,4,5,3,3,2,0
6557666,2,10,8,1,3,2,6,3,5,5,3,3
6517952,0,0,0,0,0,0,0,0,2,2,0,0
6557654,0,5,10,2,5,4,5,1,3,3,1,1
6572694,1,1,0,0,0,0,1,0,1,0,0,0
7535813,0,5,6,0,3,4,0,1,6,1,1,1
6579380,0,0,0,0,0,0,0,0,0,0,0,0
6575301,6,3,4,15,0,5,0,0,0,0,0,1
6510899,12,15,21,15,11,13,20,25,24,13,5,13
7663402,4,6,1,0,0,0,0,3,4,1,1,5
7451608,0,5,0,6,2,6,0,0,7,4,5,2
6579664,0,5,5,4,0,0,5,4,0,0,4,6
7610862,0,0,1,0,1,0,6,0,6,0,0,0
6557818,0,8,18,4,0,0,0,3,5,5,0,4
7541106,1,8,7,5,9,11,13,7,7,1,1,19
6570554,2,1,1,0,5,5,0,0,0,3,3,5
7825995,4,8,5,0,0,3,5,0,2,0,0,2
7716582,4,2,0,5,4,4,4,4,4,1,0,4
7627817,0,0,14,2,0,0,0,0,0,1,1,0
5302133,0,2,8,0,0,1,4,0,0,0,0,0
7541093,0,1,3,0,0,2,2,0,0,1,0,4
7421210,5,0,0,0,6,0,0,0,0,0,0,0
7353924,7,11,7,12,5,7,6,0,7,8,10,3
6565450,7,2,10,8,9,5,4,3,7,5,0,4
6566965,4,20,14,8,6,7,7,7,12,13,8,11
7776907,1,5,12,3,0,3,1,3,3,5,4,4
7854183,0,0,0,3,0,0,10,1,9,0,5,9
5572354,0,11,0,0,1,0,0,4,4,5,0,0
7875425,0,0,2,1,0,0,2,0,2,3,0,3
7863722,0,3,0,0,0,0,0,0,1,4,1,4
6574048,0,0,0,0,0,0,1,0,1,3,6,8
7767239,7,7,1,5,1,1,0,0,0,0,0,1
7512194,1,3,0,4,0,0,0,0,0,0,0,0
7981938,0,0,0,4,0,0,0,2,1,3,1,3
6567552,3,6,3,0,0,0,0,0,6,5,0,3
7366767,12,8,14,4,10,3,10,13,16,4,1,3
7342633,9,6,0,0,0,0,0,5,0,2,0,0
7497830,4,7,0,3,0,0,2,1,8,4,0,5
7914510,0,0,0,0,0,0,2,0,0,3,2,3
6574983,4,17,9,5,3,2,6,3,5,5,0,1
7379080,0,0,6,5,7,6,3,5,6,0,4,6
8082626,1,1,5,0,0,3,3,7,6,2,1,5
6575266,2,6,7,5,6,0,1,2,5,2,0,0
6575152,1,6,6,2,4,3,4,1,3,4,2,1
7825720,0,0,0,0,0,0,0,0,2,2,0,0
8376966,0,0,0,0,0,0,0,0,0,0,0,3
8359095,7,12,5,0,0,0,1,6,0,0,0,6
7806307,8,7,3,4,5,0,2,3,0,1,3,3
7420981,2,3,7,6,7,0,0,4,5,0,0,0
7797380,0,0,0,0,0,0,0,0,0,0,0,0
1054271,2,3,0,1,0,0,0,0,0,0,0,0
8287283,2,1,10,7,0,0,0,0,0,0,0,4
7348435,0,0,0,0,0,0,0,0,0,0,0,3
5280992,1,2,3,3,1,0,4,3,4,2,0,2
1406198,0,0,0,0,0,0,0,0,1,0,0,2
7350758,1,0,5,0,0,0,1,0,0,2,0,0
8372881,4,12,7,2,0,0,1,0,3,0,0,0
8541141,0,1,0,0,0,0,0,0,0,0,0,0
7535773,0,4,0,0,0,3,0,0,7,4,0,1
8585225,0,0,0,0,0,0,0,3,0,0,0,0
8266107,5,2,1,0,0,1,0,3,1,0,2,5
7836106,0,0,0,0,0,0,0,0,4,0,4,4
7902876,1,1,2,1,5,3,0,0,8,1,1,0
5092094,0,0,0,0,0,0,0,0,0,0,0,0
7985992,0,0,4,0,0,0,0,0,0,0,0,0
7651421,7,12,15,10,4,6,6,6,2,7,3,2
5655454,0,6,3,5,0,0,0,1,0,0,3,4
8713245,0,0,8,0,0,5,0,0,6,5,4,1
8563134,8,3,5,1,1,1,0,1,5,0,4,9
8255537,0,0,0,5,3,0,2,3,6,5,2,0
1994694,0,0,0,0,0,0,0,0,0,0,0,1
7918340,0,1,0,0,0,0,0,0,0,0,0,1
8735357,2,0,3,0,3,2,2,0,5,0,0,2
8784964,2,3,4,7,0,0,0,2,0,2,1,6
7722861,5,0,0,0,0,0,1,3,2,0,0,2
8976882,0,0,6,6,0,4,8,0,4,6,4,2
9044888,3,5,3,9,0,0,6,0,0,5,3,8
8990305,0,0,0,4,10,6,7,3,8,4,5,4
9067416,4,0,0,6,1,0,2,0,2,0,2,3
5533887,0,0,0,0,0,0,0,0,0,0,0,1
9073200,0,0,0,7,0,0,0,0,0,0,0,5
9141144,0,4,7,6,0,0,6,0,0,0,0,0
7653762,0,0,2,1,6,0,0,4,0,0,0,2
5316286,0,0,0,0,0,0,0,3,0,0,0,0
9102608,1,5,2,0,0,0,3,0,0,4,0,2
7553902,0,0,0,0,0,0,0,0,0,0,0,1
9067435,0,0,0,4,5,6,5,0,0,4,3,2
9186205,0,4,0,0,0,4,0,0,0,0,0,3
8859122,0,0,0,0,3,0,0,1,0,1,0,0
8309027,5,8,0,0,0,0,2,3,6,2,0,4
8958085,0,0,0,0,0,0,0,0,0,0,0,0
9247710,7,3,7,6,0,6,4,3,4,7,3,4
8108889,0,6,12,9,10,9,11,11,8,2,3,3
6584601,0,2,0,0,0,0,0,6,5,0,0,2
9043766,6,0,0,0,2,0,0,0,2,0,3,1
9248662,0,1,0,0,4,0,0,0,3,1,0,2
9286080,0,5,0,1,2,0,5,0,0,3,6,12
8616534,0,0,0,1,2,0,2,1,2,3,0,5
8973417,0,10,4,0,1,1,0,1,3,1,0,0
9238102,4,0,0,0,0,0,0,0,0,0,0,4
9432095,0,0,5,1,1,0,0,0,0,0,0,1
7711582,0,0,0,7,0,4,2,0,9,2,5,0
9435639,0,0,0,0,0,2,1,0,2,3,0,3
8326892,0,0,0,2,0,0,0,0,2,0,0,0
9522174,0,0,0,0,4,5,3,3,6,0,0,0
9482038,0,0,0,0,0,0,5,0,5,0,0,5
8701807,0,0,0,0,6,0,0,0,0,0,0,3
9266863,0,0,0,0,0,3,0,0,0,0,0,0
9404306,0,0,0,0,0,5,0,1,1,2,0,0
7566764,0,0,0,0,0,1,2,0,1,0,0,1
8456285,0,0,0,0,0,0,0,0,3,2,0,0
9597902,0,0,0,0,0,0,0,0,0,0,0,0
9453007,0,0,0,0,0,0,0,0,0,0,0,1
9414572,0,0,0,0,0,0,0,3,0,0,0,0
7533109,0,0,0,0,0,0,0,3,4,2,0,9
8273927,0,0,0,0,0,0,0,0,0,0,0,0
9180338,0,0,0,0,0,0,0,0,0,0,1,0
1009459,0,0,0,0,0,0,0,0,0,0,2,3
9697643,0,0,0,0,0,0,0,0,0,3,0,0
8325905,0,0,0,0,0,0,0,0,0,0,0,0
7546068,0,0,0,0,0,0,0,0,0,0,0,3
4934542,0,0,0,0,0,0,0,0,2,0,0,1
8293079,0,0,0,0,0,0,0,0,0,2,0,0
9540028,0,0,0,0,0,0,0,0,0,4,1,4
9566522,0,0,0,0,0,0,0,0,0,2,3,8
9701809,0,0,0,0,0,0,0,0,0,0,4,4
8056451,0,0,0,0,0,0,0,0,0,0,0,0
5320700,0,0,0,0,0,0,0,0,0,0,2,0
9259813,0,0,0,0,0,0,0,0,0,1,0,2
7965512,0,0,0,0,0,0,0,0,0,0,2,0
8825211,0,0,0,0,0,0,0,0,0,0,0,4
9278166,0,0,0,0,0,0,0,0,0,0,3,1
9779225,0,0,0,0,0,0,0,0,0,0,0,3
9646900,0,0,0,0,0,0,0,0,0,0,0,1
8561226,0,0,0,0,0,0,0,0,0,0,0,1
9820184,0,0,0,0,0,0,0,0,0,0,0,1
9379373,0,0,0,0,0,0,0,0,0,0,0,2
9823846,0,0,0,0,0,0,0,0,0,0,0,1
9405408,0,0,0,0,0,0,0,0,0,0,0,3
