user_id,follower_count,following_count,repo_count,lifespan,starred,forked,watched
7356593,0,0,1,575,0,107,1
5493508,3,0,2,694,2,1,7
6575356,0,4,2,581,0,166,5
6575237,0,1,3,581,0,413,4
6584712,0,0,1,579,0,130,1
6575289,0,1,3,581,0,144,7
7378655,0,0,3,570,0,323,4
6574896,0,0,2,581,0,182,2
6574862,0,0,0,581,0,0,0
5026272,0,1,4,882,0,171,4
7358080,0,1,2,575,0,364,6
6568523,0,1,3,582,0,162,9
7410562,0,0,1,563,0,0,1
5727974,2,1,3,603,0,331,4
6564444,1,1,0,583,0,0,0
7404240,0,0,1,564,0,261,1
6562219,0,0,2,584,2,397,6
6568201,1,0,28,582,0,384,28
6558286,0,1,18,585,0,538,19
6558217,1,1,3,585,0,163,11
6566022,0,4,16,583,1,157,17
6560208,2,10,5,584,844,250,157
7368788,0,2,2,572,0,993,2
6571702,0,1,4,581,1,836,9
6574996,0,1,6,581,0,1347,16
6584681,0,1,1,579,0,248,1
7347329,0,0,1,577,0,276,1
5719669,0,2,1,606,0,15,1
5724093,1,1,0,605,0,0,0
5719672,0,2,3,606,0,308,3
5719696,0,3,7,606,3,40,651
6508970,0,2,2,596,0,39,2
1301333,0,0,5,1656,0,0,13
6571752,0,1,1,581,0,270,1
7429579,0,0,0,558,0,0,0
5029407,0,1,2,881,0,3,3
1119415,0,0,0,1793,0,0,0
6557580,0,0,3,585,2,463,7
1998804,0,1,4,1219,0,6164,4
6517910,0,1,4,594,0,538,11
7342119,0,1,2,578,0,364,6
7395784,0,0,1,566,0,229,1
7405220,0,5,1,564,5877,2145,1562
7386055,0,0,1,568,0,165,1
6575368,0,1,3,581,0,219,3
6517995,0,0,1,594,0,37,1
6571706,0,1,1,581,0,267,1
2305954,0,0,0,1065,0,0,0
6572339,0,1,1,581,0,287,1
1571369,0,0,2,1469,0,292,2
6574970,1,1,3,581,1,316,11
7342114,1,1,1,578,0,0,1
6574497,0,0,5,581,0,314,5
6574950,0,0,1,581,0,192,2
5720277,0,2,2,606,0,187,2
6518068,1,8,5,594,0,45,9
6575981,0,2,1,581,0,252,1
5490358,0,0,2,695,0,0,2
6564253,1,2,2,583,0,112,2
7409037,1,1,6,563,2,0,6
7394673,0,0,2,567,0,438,3
7362853,0,0,23,574,0,732,23
7455964,0,0,2,551,0,306,2
7389039,0,1,3,568,786,416,124
6584668,0,0,2,579,0,92,1
6568539,0,2,3,582,0,286,9
6579775,0,4,6,580,0,294,4
7388980,1,1,3,568,0,457,14
7342111,1,1,3,578,0,551,8
7342120,0,2,0,578,0,0,0
5512830,0,0,3,687,0,416,3
6579652,0,3,2,580,0,401,2
6585092,0,0,2,579,0,142,2
6557631,0,0,1,585,0,1000,1
7379671,1,1,0,570,0,0,0
6571739,0,1,1,581,0,494,2
1547209,1,0,0,1489,0,0,0
2058270,0,0,0,1189,0,0,0
7471561,0,2,2,547,0,601,2
7535832,0,0,1,530,0,501,1
7388798,0,0,3,568,5877,3147,1564
7380997,0,0,1,570,0,0,3
7482002,0,0,0,545,0,0,0
6575154,0,0,0,581,0,0,0
1941233,0,0,4,1251,0,642,4
6568187,0,1,3,582,0,613,13
7402817,0,1,2,565,0,527,12
7445365,0,0,0,554,0,0,0
6557730,0,0,0,585,0,0,0
7513543,0,0,1,537,0,61,1
324869,2,3,3,2460,843,65,153
7580597,0,0,1,518,0,491,1
6574921,0,1,1,581,0,491,1
7529679,0,2,2,531,0,878,2
2299777,0,1,11,1069,0,925,11
7358260,0,1,1,575,0,487,1
7423528,0,0,0,559,0,0,0
6584599,0,0,4,579,0,719,7
7619022,0,0,0,509,0,0,0
6569260,0,1,0,582,0,0,0
7494416,1,3,4,542,5,378,4
982593,0,0,9,1874,1,349,10
7576362,1,1,1,519,0,512,1
